ÓòÃû,ºó×º,×¢²á×´Ì¬,×¢²áÈÕÆÚ,¹ýÆÚÈÕÆÚ,×¢²áÉÌ,×¢²áÕß,ÁªÏµÈË,ÓÊÏä,ÓòÃû×´Ì¬,DNS·þÎñÆ÷,,
guqoo.com,.com,Î´×¢²á,,,,,,,,,
rizoo.com,.com,ÒÑ×¢²á,2000-05-10,2018-05-10,Fabulous.com Pty Ltd.,,,,clientTransferProhibited ;,NS1.FABULOUS.COM;NS2.FABULOUS.COM;,
doroo.com,.com,ÒÑ×¢²á,2012-05-11,2018-05-11,"eName Technology Co., Ltd.",,,,clientDeleteProhibited ;clientTransferProhibited ;,F1G1NS1.DNSPOD.NET;F1G1NS2.DNSPOD.NET;,
gifoo.com,.com,ÒÑ×¢²á,2010-05-11,2018-05-11,Fabulous.com Pty Ltd.,,,,ok ;,NS3.EASILY.NET;NS4.EASILY.NET;,
kifoo.com,.com,ÒÑ×¢²á,2006-05-11,2018-05-11,PDR Ltd. d/b/a PublicDomainRegistry.com,,,,clientTransferProhibited ;,M.COOWO.COM;N.COOWO.COM;,
nijoo.com,.com,ÒÑ×¢²á,2007-05-11,2018-05-11,"GoDaddy.com, LLC",,,,ok ;,NS1.PARKINGCREW.NET;NS2.PARKINGCREW.NET;,
firoo.com,.com,ÒÑ×¢²á,2010-05-12,2018-05-12,Fabulous.com Pty Ltd.,,,,ok ;,NS3.EASILY.NET;NS4.EASILY.NET;,
rahoo.com,.com,ÒÑ×¢²á,1998-05-13,2018-05-12,"GoDaddy.com, LLC",,,,clientDeleteProhibited ;clientRenewProhibited ;clientTransferProhibited ;clientUpdateProhibited ;,NS53.DOMAINCONTROL.COM;NS54.DOMAINCONTROL.COM;,
goxoo.com,.com,ÒÑ×¢²á,2012-05-13,2018-05-13,"eName Technology Co., Ltd.",,,,clientDeleteProhibited ;clientTransferProhibited ;,F1G1NS1.DNSPOD.NET;F1G1NS2.DNSPOD.NET;,
maloo.com,.com,ÒÑ×¢²á,1999-05-13,2018-05-13,"Deluxe Small Business Sales, Inc. d/b/a Aplus.net",,,,clientTransferProhibited ;,NS1.APLUS.NET;NS2.APLUS.NET;,
roroo.com,.com,ÒÑ×¢²á,2009-05-13,2018-05-13,Megazone Corp. dba Hosting.kr,,,,clientTransferProhibited ;,NS1.PARKINGCREW.NET;NS2.PARKINGCREW.NET;,
gupoo.com,.com,ÒÑ×¢²á,2010-05-14,2018-05-14,"Wild West Domains, LLC",,,,clientDeleteProhibited ;clientRenewProhibited ;clientTransferProhibited ;clientUpdateProhibited ;,NS1.SEDOPARKING.COM;NS2.SEDOPARKING.COM;,
nozoo.com,.com,ÒÑ×¢²á,2011-05-14,2018-05-14,Megazone Corp. dba Hosting.kr,,,,clientTransferProhibited ;,NS1.PARKINGCREW.NET;NS2.PARKINGCREW.NET;,
paboo.com,.com,ÒÑ×¢²á,2003-05-14,2018-05-14,1&1 Internet SE,,,,clientTransferProhibited ;,NS1035.UI-DNS.BIZ;NS1035.UI-DNS.COM;NS1035.UI-DNS.DE;NS1035.UI-DNS.ORG;,
qexoo.com,.com,ÒÑ×¢²á,2017-05-14,2018-05-14,"Shanghai Meicheng Technology Information Development Co., Ltd.",,,,clientTransferProhibited ;,JUMING.DNSDUN.COM;JUMING.DNSDUN.NET;,
wiboo.com,.com,ÒÑ×¢²á,2014-05-14,2018-05-14,Megazone Corp. dba Hosting.kr,,,,clientTransferProhibited ;,NS1.PARKINGCREW.NET;NS2.PARKINGCREW.NET;,
xoroo.com,.com,ÒÑ×¢²á,2011-05-14,2018-05-14,"eName Technology Co., Ltd.",,,,clientDeleteProhibited ;clientTransferProhibited ;,F1G1NS1.DNSPOD.NET;F1G1NS2.DNSPOD.NET;,
munoo.com,.com,ÒÑ×¢²á,2004-05-15,2018-05-15,"GoDaddy.com, LLC",,,,clientDeleteProhibited ;clientRenewProhibited ;clientTransferProhibited ;clientUpdateProhibited ;,NS43.WORLDNIC.COM;NS44.WORLDNIC.COM;,
nuxoo.com,.com,ÒÑ×¢²á,2012-05-15,2018-05-15,"GoDaddy.com, LLC",,,,clientDeleteProhibited ;clientRenewProhibited ;clientTransferProhibited ;clientUpdateProhibited ;,NS1.SEDOPARKING.COM;NS2.SEDOPARKING.COM;,
qamoo.com,.com,ÒÑ×¢²á,2009-05-15,2018-05-15,Fabulous.com Pty Ltd.,,,,ok ;,NS3.EASILY.NET;NS4.EASILY.NET;,
loqoo.com,.com,ÒÑ×¢²á,2013-05-16,2018-05-16,"eName Technology Co., Ltd.",,,,clientDeleteProhibited ;clientTransferProhibited ;,F1G1NS1.DNSPOD.NET;F1G1NS2.DNSPOD.NET;,
maboo.com,.com,ÒÑ×¢²á,2004-05-16,2018-05-16,Uniregistrar Corp,,,,ok ;,NS1.BRAINYDNS.COM;NS2.BRAINYDNS.COM;,
nicoo.com,.com,ÒÑ×¢²á,2006-05-16,2018-05-16,DomReg Ltd.,,,,clientDeleteProhibited ;clientTransferProhibited ;clientUpdateProhibited ;,NS1.DOMAINRECOVER.COM;NS2.DOMAINRECOVER.COM;,
soroo.com,.com,ÒÑ×¢²á,2015-05-16,2018-05-16,"Epik, Inc.",,,,clientTransferProhibited ;,NS1.SEDOPARKING.COM;NS2.SEDOPARKING.COM;,
sihoo.com,.com,ÒÑ×¢²á,2006-05-16,2018-05-16,"Gabia, Inc.",,,,clientTransferProhibited ;,BUY.INTERNETTRAFFIC.COM;SELL.INTERNETTRAFFIC.COM;,
cewoo.com,.com,ÒÑ×¢²á,2013-05-17,2018-05-17,NamesHere LLC,,,,ok ;,NSG1.NAMEBRIGHTDNS.COM;NSG2.NAMEBRIGHTDNS.COM;,
